Town	Station	Neighbourhood
Western Suburbs	Andheri	Amboli,Chakala,D.N. Nagar,Four Bungalows,JB Nagar,Lokhandwala,Marol,Model Town,Oshiwara,Poonam Nagar,Sahar,Saki Naka,Seven Bungalows,Versova
Western Suburbs	Bandra	Bandra Kurla Complex,Bandstand Promenade,Gandhi Nagar,Kherwadi,Lands End,Pali Hill,Bandra Reclamation
Western Suburbs	Borivali	I.C. Colony,L.I.C. Colony aka Jeevan Bhima Nagar,Eksar Colony,Shimpoli,Gorai,Kora Kendra,Vazira Naka,Babhai,Chikuwadi,Yogi Nagar
Western Suburbs	Borivali East	Magathane,Nancy Colony,Sukurwadi
Western Suburbs	Dahisar	Dahisar
Western Suburbs	Goregaon	Aarey Milk Colony,Motilal Nagar,Bangur Nagar,Gokuldham,Pandurangwadi,NESCO colony
Western Suburbs	Jogeshwari	Jogeshwari West,Jogeshwari East
Western Suburbs	Juhu	Juhu
Western Suburbs	Kandival west	Charkop,Poisar,Hindustan Naka,Mahavir Nagar
Western Suburbs	Kandivali east	Samta nagar,Damu nagar,Thakur complex,Thakur village,Lokandwala township,Akurli road,Janupada,Hanuman nagar
Western Suburbs	Khar	Pali Naka,Khar Danda
Western Suburbs	Malad	Dindoshi,Sunder Nagar,Pathanwadi,Rani Sati Marg,Malvani
Western Suburbs	Santacruz	Kalina
Western Suburbs	Vasai	Naigaon,Nalasopara
Western Suburbs	Virar	Virar
Western Suburbs	Vile Parle	Irla
South Mumbai	Agripada	Antop Hill
South Mumbai	Altamount Road	Altamount Road
South Mumbai	Bhuleshwar	Bhuleshwar
South Mumbai	Breach Candy	Breach Candy
South Mumbai	Carmichael Road	Carmichael Road
South Mumbai	Cavel	Cavel
South Mumbai	Churchgate	Churchgate
South Mumbai	Cotton Green	Cotton Green
South Mumbai	Cuffe Parade	Cuffe Parade
South Mumbai	Cumbala Hill	Cumbala Hill
South Mumbai	Currey Road	Currey Road
South Mumbai	Dhobitalao	Dhobitalao
South Mumbai	Dongri	Dongri
South Mumbai	Kala Ghoda	Kala Ghoda
South Mumbai	Kemps Corner	Kemps Corner
South Mumbai	Lalbaug	Lalbaug
South Mumbai	Lower Parel	Lower Parel
South Mumbai	Mahalaxmi	Mahalaxmi
South Mumbai	Mahim	Mahim
South Mumbai	Malabar Hill	Malabar Hill
South Mumbai	Marine Drive, Mumbai	Marine Drive, Mumbai
South Mumbai	Marine Lines	Marine Lines
South Mumbai	Mumbai Central	Mumbai Central
South Mumbai	Nariman Point	Nariman Point
South Mumbai	Prabhadevi	Prabhadevi
South Mumbai	Sion	Sion
South Mumbai	Walkeshwar	Walkeshwar
South Mumbai	Worli	Worli
South Mumbai	Antop Hill	C.G.S. colony
South Mumbai	Byculla	Dagdi Chawl,Ghodapdeo
South Mumbai	Colaba	Navy Nagar
South Mumbai	Dadar	Hindu colony,Parsi Colony
South Mumbai	Fort	Ballard Estate
South Mumbai	Girgaon	Khotachiwadi
South Mumbai	Kalbadevi	Chira Bazaar,Fanas Wadi
South Mumbai	Kamathipura[edit]	Chor Bazaar
South Mumbai	Matunga[edit]	Matunga[edit]
South Mumbai	Matunga[edit]	Matunga[edit]
South Mumbai	Lalbaug	Lalbaug
South Mumbai	Tardeo[edit]	Gowalia Tank
